flight_id,airport,date,time,timestep,phase,altitude_ft,speed_knots,pitch_deg,vertical_speed,engine_thrust,wind_speed_knots,crosswind_component,visibility_km,temperature_celsius,humidity_percent,weather,time_of_day,runway_condition,pilot_error,pilot_experience,aircraft_weight,flap_setting,engine_status,fuel_level,approach_accident_type,landing_accident_type
0,BLR,2022-05,09:02:00,0,Approach,4954.288089755162,97.32615791844498,5.054022563750339,-671.6035376461803,24.28613051751189,1.0154418533047087,1.078722458080425,8.82479961799676,26.89366502599397,61.80697802754207,Clear,Day,Wet,0,474,61500.54387561224,7.8074684094372895,Normal,27.793486132736028,Safe Approach,Engine Failure
0,BLR,2022-05,09:02:30,1,Approach,4204.376171674105,118.32391303055692,4.003058593886378,-1545.7609891471043,24.901423035111126,7.019155136178799,5.257101595294975,8.459309809578674,26.518079090205045,69.11875426090128,Rain,Day,Wet,0,10199,65889.7210021667,14.68691150099488,Normal,22.149783361477247,Safe Approach,Engine Failure
0,BLR,2022-05,09:03:00,2,Approach,2656.1927949630253,141.27501851435463,4.850208106094139,-557.5359043998618,24.036341756541837,10.07254259712909,4.972950864851208,6.757197409993318,28.241097250965623,62.67801266159309,Storm,Night,Wet,0,10084,76914.76325090439,14.382164473824858,Normal,22.16314682264953,Safe Approach,Engine Failure
0,BLR,2022-05,09:03:30,3,Approach,1365.5805420706604,113.80823002327617,5.517309500339322,-711.3972432791476,19.668001336647926,9.799819129284195,1.902491117845961,6.895487242176172,28.49909717142797,72.10893256478433,Clear,Night,Dry,0,11038,65850.83016774818,17.543853588412077,Normal,16.203640681353896,Safe Approach,Engine Failure
0,BLR,2022-05,09:05:00,4,Landing,1970.67037901311,107.32147034237232,4.650633709490728,203.60164103213867,19.87026365044535,10.367340867120994,7.219596510218161,7.122153602265708,26.785132735562524,52.61556019383698,Clear,Night,Wet,1,5180,57338.18805311313,22.0312170304707,Normal,6.149096255282238,Safe Approach,Engine Failure
0,BLR,2022-05,09:05:30,5,Landing,1315.88436678395,102.84877858836171,6.014844128962252,-1159.9067757260252,19.851292640401233,11.239546056089276,6.9441211534530805,7.351864673126458,27.5749614693206,71.25236966473325,Fog,Night,Dry,1,9232,92388.410783692,21.368680443740768,Normal,2.0,Safe Approach,Engine Failure
0,BLR,2022-05,09:06:00,6,Landing,656.0024202837213,105.66404842083129,5.376631905207812,-26.356729420019363,17.654303538313872,9.13586260032629,7.50329885653094,5.9023748954380535,26.64735031076192,69.00666391261943,Clear,Day,Wet,0,4603,60003.89768458248,25.81738051610072,Normal,2.0,Safe Approach,Engine Failure
0,BLR,2022-05,09:06:30,7,Landing,0.0,98.6333209836608,5.766645000165378,-2968.4156887739423,17.38562803435591,12.840467374815876,11.223352577681736,5.851472818668946,25.35488024539488,68.50496324767066,Clear,Night,Wet,0,6618,53226.965029673054,29.707054386516766,Normal,2.0,Safe Approach,Engine Failure
1,DEL,2021-05,16:54:00,0,Approach,4102.824062559075,128.7252792081095,6.174036102143365,178.32381502657597,85.87000537164602,7.203503194640136,0.2647178200412508,10.0,27.87586761111834,63.55054620181977,Fog,Day,Wet,0,7572,63415.61260599707,10.128560038190926,Normal,76.43183226797598,Safe Approach,Safe Landing
1,DEL,2021-05,16:54:30,1,Approach,3939.1187811430113,155.22808096022925,6.137722519284976,-272.42822797689445,77.68187919823848,3.565079642687168,3.434580847713762,7.789298058407271,28.45462653223345,61.89096578632692,Rain,Night,Wet,0,3159,97573.12120026912,10.701653301284246,Normal,66.18747135266833,Safe Approach,Safe Landing
